Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
5,EVS,1,n.indd 1 10-Jul-25 6:07:45 PM,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+n.indd+1+10-Jul-25+6%3A07%3A45+PM,https://www.youtube.com/results?search_query=Class+5+EVS+n.indd+1+10-Jul-25+6%3A07%3A45+PM+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=n.indd+1+10-Jul-25+6%3A07%3A45+PM
5,EVS,10,Earth — Our Shared Home,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Earth+%E2%80%94+Our+Shared+Home,https://www.youtube.com/results?search_query=Class+5+EVS+Earth+%E2%80%94+Our+Shared+Home+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Earth+%E2%80%94+Our+Shared+Home
5,EVS,2,Journey of a River,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation; map/atlas,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Journey+of+a+River,https://www.youtube.com/results?search_query=Class+5+EVS+Journey+of+a+River+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Journey+of+a+River
5,EVS,3,‘ The Mystery of Food’ and Chapter 4,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+%E2%80%98+The+Mystery+of+Food%E2%80%99+and+Chapter+4,https://www.youtube.com/results?search_query=Class+5+EVS+%E2%80%98+The+Mystery+of+Food%E2%80%99+and+Chapter+4+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=%E2%80%98+The+Mystery+of+Food%E2%80%99+and+Chapter+4
5,EVS,4,Our School — A Happy Place,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Our+School+%E2%80%94+A+Happy+Place,https://www.youtube.com/results?search_query=Class+5+EVS+Our+School+%E2%80%94+A+Happy+Place+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Our+School+%E2%80%94+A+Happy+Place
5,EVS,5,Our Vibrant Country,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Our+Vibrant+Country,https://www.youtube.com/results?search_query=Class+5+EVS+Our+Vibrant+Country+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Our+Vibrant+Country
5,EVS,6,Some Unique Places,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Some+Unique+Places,https://www.youtube.com/results?search_query=Class+5+EVS+Some+Unique+Places+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Some+Unique+Places
5,EVS,7,Energy — How Things Work,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Energy+%E2%80%94+How+Things+Work,https://www.youtube.com/results?search_query=Class+5+EVS+Energy+%E2%80%94+How+Things+Work+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Energy+%E2%80%94+How+Things+Work
5,EVS,8,Clothes — How Things are Made,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Clothes+%E2%80%94+How+Things+are+Made,https://www.youtube.com/results?search_query=Class+5+EVS+Clothes+%E2%80%94+How+Things+are+Made+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Clothes+%E2%80%94+How+Things+are+Made
5,EVS,9,Rhythms of Nature,video; image; document/reading; quiz; worksheet; audio/read-aloud; experiment/demonstration; diagram/process-animation; simulation,https://diksha.gov.in/search?query=NCERT+Class+5+EVS+Rhythms+of+Nature,https://www.youtube.com/results?search_query=Class+5+EVS+Rhythms+of+Nature+explanation,https://ncert.nic.in/textbook.php,,https://phet.colorado.edu/en/simulations/filter?subjects=Rhythms+of+Nature
5,English,1,Papa’s Spectacles,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+Papa%E2%80%99s+Spectacles,https://www.youtube.com/results?search_query=Class+5+English+Papa%E2%80%99s+Spectacles+explanation,https://ncert.nic.in/textbook.php,,
5,English,10,Glass Bangles,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+Glass+Bangles,https://www.youtube.com/results?search_query=Class+5+English+Glass+Bangles+explanation,https://ncert.nic.in/textbook.php,,
5,English,2,Gone with the Scooter,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+Gone+with+the+Scooter,https://www.youtube.com/results?search_query=Class+5+English+Gone+with+the+Scooter+explanation,https://ncert.nic.in/textbook.php,,
5,English,3,The Rainbow,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+The+Rainbow,https://www.youtube.com/results?search_query=Class+5+English+The+Rainbow+explanation,https://ncert.nic.in/textbook.php,,
5,English,4,The Wise Parrot,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+The+Wise+Parrot,https://www.youtube.com/results?search_query=Class+5+English+The+Wise+Parrot+explanation,https://ncert.nic.in/textbook.php,,
5,English,5,The Frog,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+The+Frog,https://www.youtube.com/results?search_query=Class+5+English+The+Frog+explanation,https://ncert.nic.in/textbook.php,,
5,English,6,What a Tank!,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+What+a+Tank%21,https://www.youtube.com/results?search_query=Class+5+English+What+a+Tank%21+explanation,https://ncert.nic.in/textbook.php,,
5,English,7,Gilli Danda,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+Gilli+Danda,https://www.youtube.com/results?search_query=Class+5+English+Gilli+Danda+explanation,https://ncert.nic.in/textbook.php,,
5,English,8,The Decision of the,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+The+Decision+of+the,https://www.youtube.com/results?search_query=Class+5+English+The+Decision+of+the+explanation,https://ncert.nic.in/textbook.php,,
5,English,9,Vocation,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+English+Vocation,https://www.youtube.com/results?search_query=Class+5+English+Vocation+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,1,किरन,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%A8,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%A8+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,10,तीन मछलियाँ,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%A4%E0%A5%80%E0%A4%A8+%E0%A4%AE%E0%A4%9B%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%A4%E0%A5%80%E0%A4%A8+%E0%A4%AE%E0%A4%9B%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,11,हमारे ये कलामंदिर,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%87+%E0%A4%AF%E0%A5%87+%E0%A4%95%E0%A4%B2%E0%A4%BE%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%87+%E0%A4%AF%E0%A5%87+%E0%A4%95%E0%A4%B2%E0%A4%BE%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,12,गंगा की कहानी,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%97%E0%A4%82%E0%A4%97%E0%A4%BE+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A5%80,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%97%E0%A4%82%E0%A4%97%E0%A4%BE+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A5%80+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,2,न्याय की कुसी,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A5%81%E0%A4%B8%E0%A5%80,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF+%E0%A4%95%E0%A5%80+%E0%A4%95%E0%A5%81%E0%A4%B8%E0%A5%80+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,3,चाँद का कुरता,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%9A%E0%A4%BE%E0%A4%81%E0%A4%A6+%E0%A4%95%E0%A4%BE+%E0%A4%95%E0%A5%81%E0%A4%B0%E0%A4%A4%E0%A4%BE,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%9A%E0%A4%BE%E0%A4%81%E0%A4%A6+%E0%A4%95%E0%A4%BE+%E0%A4%95%E0%A5%81%E0%A4%B0%E0%A4%A4%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,4,साङकेन,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%B8%E0%A4%BE%E0%A4%99%E0%A4%95%E0%A5%87%E0%A4%A8,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%B8%E0%A4%BE%E0%A4%99%E0%A4%95%E0%A5%87%E0%A4%A8+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,5,सुंदरिया,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%B8%E0%A5%81%E0%A4%82%E0%A4%A6%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%B8%E0%A5%81%E0%A4%82%E0%A4%A6%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,6,चतुर चित्रकार,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%B0+%E0%A4%9A%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%9A%E0%A4%A4%E0%A5%81%E0%A4%B0+%E0%A4%9A%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,7,मेरा बचपन,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%AE%E0%A5%87%E0%A4%B0%E0%A4%BE+%E0%A4%AC%E0%A4%9A%E0%A4%AA%E0%A4%A8,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%AE%E0%A5%87%E0%A4%B0%E0%A4%BE+%E0%A4%AC%E0%A4%9A%E0%A4%AA%E0%A4%A8+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,8,उद्यान की यात्रा,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8+%E0%A4%95%E0%A5%80+%E0%A4%AF%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8+%E0%A4%95%E0%A5%80+%E0%A4%AF%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
5,Hindi,9,न्याय,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+5+Hindi+%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF,https://www.youtube.com/results?search_query=Class+5+Hindi+%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF+explanation,https://ncert.nic.in/textbook.php,,
5,Mathematics,1,Travellers — I,video; image; document/reading; quiz; worksheet; audio/read-aloud; interactive-math; worked-example-animation,https://diksha.gov.in/search?query=NCERT+Class+5+Mathematics+Travellers+%E2%80%94+I,https://www.youtube.com/results?search_query=Class+5+Mathematics+Travellers+%E2%80%94+I+explanation,https://ncert.nic.in/textbook.php,https://www.geogebra.org/search/Travellers+%E2%80%94+I,
